HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
0008M,Onc breast risk score,N,O,5,201,194,199,7908.15,3419.40,3351.01,3351.03
00100,Anesthesia for procedure on salivary gland with biopsy,N,F,9735,12216,12187,12213,1709.57,233.89,181.30,182.48
00100,Anesthesia for procedure on salivary gland with biopsy,N,O,59,72,72,72,1145.43,145.35,110.99,113.16
00102,Anesthesia for procedure to repair lip defect present at birth,N,F,65,70,70,70,1308.12,178.69,137.86,140.33
00103,Anesthesia for procedure on eyelid,N,F,21460,123331,121509,123225,1000.69,150.95,116.27,117.41
00103,Anesthesia for procedure on eyelid,N,O,1008,3935,3912,3934,915.08,126.65,97.18,97.27
00104,Anesthesia for electric shock treatment,N,F,12625,190539,103340,190491,618.62,85.39,65.84,66.14
00104,Anesthesia for electric shock treatment,N,O,125,1701,974,1701,636.01,79.37,60.92,62.85
0010M,"Oncology (high-grade prostate cancer), biochemical assay of four proteins (total psa, free psa, intact psa and human kallidrein 2 (hk2)) plus patient age, digital rectal examination status, and no history of positive prostate biopsy, utilizing plasma, prog",N,O,4,13467,13233,13466,1900.05,333.54,260.38,260.38
00120,Anesthesia for biopsy of external middle and inner ear,N,F,13056,23783,23402,23778,1456.79,198.86,153.80,154.89
00120,Anesthesia for biopsy of external middle and inner ear,N,O,280,530,526,530,1424.61,176.82,136.75,135.61
00124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,N,F,921,1010,1010,1010,679.22,96.31,72.27,73.39
00124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,N,O,19,20,20,20,1150.48,100.53,78.82,79.58
00126,Anesthesia for incision of ear drum,N,F,7362,11697,11593,11694,666.40,93.24,71.69,72.90
00126,Anesthesia for incision of ear drum,N,O,168,258,256,258,699.53,83.44,65.17,66.25
00140,Anesthesia for procedure on eye,N,F,24172,157763,148576,157651,934.58,142.11,109.95,110.14
00140,Anesthesia for procedure on eye,N,O,1050,4562,4446,4561,934.03,123.55,95.28,95.49
00142,Anesthesia for lens surgery,N,F,41656,2088047,1824243,2087624,668.10,103.03,79.72,80.48
00142,Anesthesia for lens surgery,N,O,2157,49636,46146,49625,630.93,86.17,66.73,67.22
00144,Anesthesia for procedure on eye for corneal transplant,N,F,7665,25952,25214,25926,1202.73,171.87,132.70,133.25
00144,Anesthesia for procedure on eye for corneal transplant,N,O,432,1159,1150,1158,1224.58,156.87,121.62,120.64
00145,Anesthesia for retinal surgery,N,F,19953,133125,129957,133102,1180.33,169.63,131.47,132.18
00145,Anesthesia for retinal surgery,N,O,658,3174,3139,3174,1157.41,148.88,115.27,115.94
00147,Anesthesia for procedure on eye for removal of iris,N,F,493,921,906,921,897.42,125.03,96.26,94.66
00148,Anesthesia for eye examination using an endoscope,N,F,780,934,923,934,752.77,99.23,75.04,75.21
00148,Anesthesia for eye examination using an endoscope,N,O,37,45,45,45,782.20,96.85,75.16,76.47
00160,Anesthesia for procedure on nose and sinus,N,F,31028,74386,74040,74352,1263.51,175.82,135.92,137.40
00160,Anesthesia for procedure on nose and sinus,N,O,716,1642,1633,1642,1187.82,164.88,127.57,129.38
00162,Anesthesia for surgery of nose and sinus,N,F,919,1027,1026,1027,2612.13,348.62,271.84,269.75
