HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Minimum Submitted Charge Amount,Maximum Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Allowed Amount,Minimum Medicare Allowed Amount,Maximum Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Medicare Payment Amount,Minimum Medicare Payment Amount,Maximum Medicare Payment Amount,Standard Deviation of Medicare Payment Amount
A4565,Slings,N,F,62,121,118,120,19.09,6.81,48.00,7.26,8.22,6.81,8.26,0.16,6.26,0.86,6.61,0.95
3008F,Body mass index docd,N,O,5,25,25,25,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
G9003,"Coordinated care fee, risk adjusted high, initial",N,O,1,3491,347,3491,281.00,281.00,281.00,0.00,281.00,281.00,281.00,0.00,276.89,276.89,276.89,0.00
A4562,"Pessary, non rubber, any type",N,F,83,277,247,277,114.95,0.01,201.00,40.73,53.43,0.01,85.00,8.90,40.35,0.00,66.64,7.82
A0425,"Ground mileage, per statute mile",N,F,10343,140801494,6755692,12671918,15.09,0.08,408.23,8.08,7.80,0.05,10.74,0.93,6.13,0.00,8.59,0.73
A0425,"Ground mileage, per statute mile",N,O,16,3458,824,1304,12.51,6.87,120.00,2.46,7.09,6.87,10.74,0.06,5.58,5.39,8.42,0.05
A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",N,F,3000,325543,282932,317966,791.40,7.00,28437.00,458.37,262.15,7.00,347.09,19.76,203.96,5.56,277.67,15.76
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als1-emergency)",N,F,8378,4972851,3490463,4936591,923.39,90.67,28655.36,460.14,417.52,90.67,549.57,32.28,324.71,0.00,436.73,25.20
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als1-emergency)",N,O,3,480,382,480,589.72,445.00,600.00,6.63,421.29,397.57,425.45,1.10,330.94,311.70,340.36,0.98
A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",N,F,4973,6812508,2053295,4844933,537.12,95.00,28454.63,275.68,220.89,95.00,289.24,17.12,172.99,0.00,228.65,13.46
