HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
00100 ,Anesthesia for procedure on salivary gland with biopsy ,N ,F ,9552,12180,12150,12174,1618.30,239.13,185.37,186.39
00100 ,Anesthesia for procedure on salivary gland with biopsy ,N ,O ,10,12,12,12,850.24,207.42,162.61,167.26
00102 ,Anesthesia for procedure to repair lip defect present at birth ,N ,F ,68,209,208,209,713.39,113.39,88.92,91.89
00103 ,Anesthesia for procedure on eyelid ,N ,F ,21488,122462,120477,122376,947.45,155.02,119.67,120.33
00103 ,Anesthesia for procedure on eyelid ,N ,O ,83,241,232,241,995.23,218.55,168.94,159.73
00104 ,Anesthesia for electric shock treatment ,N ,F ,12425,192439,103326,192376,593.63,87.79,67.89,67.86
00104 ,Anesthesia for electric shock treatment ,N ,O ,11,114,27,114,546.12,110.67,85.81,89.66
00120 ,Anesthesia for biopsy of external middle and inner ear ,N ,F ,12616,23272,22977,23263,1392.99,205.98,159.24,160.49
00120 ,Anesthesia for biopsy of external middle and inner ear ,N ,O ,19,20,20,20,1108.62,168.66,132.23,134.62
00124 ,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope ,N ,F ,979,1054,1050,1054,653.38,99.92,75.19,76.36
00126 ,Anesthesia for incision of ear drum ,N ,F ,7736,12326,12219,12325,625.03,95.06,73.32,74.40
00140 ,Anesthesia for procedure on eye ,N ,F ,24141,145572,137999,145481,913.48,148.90,115.23,115.06
00140 ,Anesthesia for procedure on eye ,N ,O ,73,504,433,504,967.06,158.15,123.75,124.40
00142 ,Anesthesia for lens surgery ,N ,F ,42290,2070615,1814268,2070127,628.01,106.18,82.26,82.75
00142 ,Anesthesia for lens surgery ,N ,O ,313,2359,2258,2358,751.07,104.77,81.01,80.35
00144 ,Anesthesia for procedure on eye for corneal transplant ,N ,F ,7771,26082,25371,26049,1157.72,177.36,137.02,137.07
00144 ,Anesthesia for procedure on eye for corneal transplant ,N ,O ,13,13,13,13,1197.08,161.92,126.95,124.62
00145 ,Anesthesia for retinal surgery ,N ,F ,19944,132627,129460,132613,1126.40,175.13,135.76,136.15
00145 ,Anesthesia for retinal surgery ,N ,O ,28,32,32,32,1238.00,169.70,122.32,127.20
00147 ,Anesthesia for procedure on eye for removal of iris ,N ,F ,428,846,832,846,779.30,123.89,96.41,94.91
00148 ,Anesthesia for eye examination using an endoscope ,N ,F ,855,990,977,990,729.19,103.66,79.20,79.03
00160 ,Anesthesia for procedure on nose and sinus ,N ,F ,30816,73801,73452,73757,1192.08,180.03,139.05,140.72
